weather_severity,origin_congestion,dest_congestion,carrier_ontime_rate,cargo_priority_weight,days_until_eta,route_distance_km,disruption_occurred
6.7548,1.2251,3.4753,0.6482,1,20.6243,13436.6037,0
4.7973,1.2682,2.9677,0.7724,1,17.2761,10882.2844,0
4.7757,5.0429,3.5037,0.9325,2,21.246,5433.6325,0
9.6149,4.0294,1.8347,0.5926,3,18.5081,12203.36,1
5.8261,9.758,4.4068,0.7929,5,26.6781,5743.7079,1
1.626,6.9514,7.9576,0.9835,2,26.128,6011.8303,0
8.507,2.4639,4.1974,0.8449,1,18.6648,2981.5104,1
2.4706,4.4151,9.9057,0.8316,5,7.3688,5202.0996,1
1.5034,8.3962,8.2454,0.7265,1,7.1185,14172.1909,1
3.8321,6.8989,4.5607,0.9524,4,5.1433,2524.6396,0
5.8508,7.7231,4.8559,0.8068,3,7.3603,14964.2953,0
1.8182,1.424,1.9868,0.8261,4,18.2959,6079.126,0
5.2124,3.2627,5.979,0.9647,1,20.7696,8286.0698,0
6.7687,2.004,4.9129,0.7496,3,29.1848,11548.4519,0
1.9577,6.6277,8.575,0.7734,2,5.4323,11556.4066,1
8.0076,5.7732,1.0051,0.6926,1,4.2442,5763.2211,1
8.261,3.1551,3.1678,0.7996,1,3.484,7546.8617,0
7.8454,7.8925,2.1555,0.7591,5,5.7887,8151.2699,1
9.6793,9.3602,7.7974,0.8535,3,12.5708,10239.4609,1
9.0965,5.0634,3.2312,0.5782,1,18.061,3836.6636,1
1.6389,6.6799,3.0605,0.9484,3,3.0549,3951.0672,0
2.9281,2.1908,9.4196,0.8013,4,8.0469,7358.1077,1
1.8489,6.9308,4.1887,0.7309,1,20.5276,14770.3956,1
4.6236,4.0537,8.7551,0.6594,2,16.5523,2532.6433,1
5.1637,8.8704,1.6785,0.9055,5,3.8394,9956.101,1
1.1328,1.8394,7.7821,0.654,4,15.0836,3599.3358,0
1.5277,4.4108,9.8678,0.6667,4,9.2722,10600.5768,1
8.0503,6.9568,5.38,0.6336,2,29.0926,8898.1142,1
7.7318,1.5145,6.2576,0.7713,5,5.5655,14431.2941,0
2.6724,6.3553,7.0769,0.6535,1,28.3063,8760.2934,0
1.3577,1.7379,6.9164,0.7987,3,28.1065,3461.7584,0
3.1482,4.5621,7.0452,0.682,3,27.9415,14068.1472,1
6.5904,6.0669,1.8998,0.7866,5,8.6908,14032.261,0
8.9134,4.3257,2.4197,0.9168,3,18.7387,14814.8794,1
1.0704,8.3539,3.6944,0.8419,2,8.6695,13400.8343,1
2.399,3.5358,2.8957,0.7009,3,15.6569,4141.2582,0
1.4572,6.7086,8.4641,0.5694,3,23.3625,9738.144,1
7.6711,5.9651,4.8492,0.5543,1,28.4065,10519.7845,1
1.3243,4.3229,5.9727,0.7391,1,9.9395,13535.2316,0
8.7463,9.0903,2.8907,0.6598,1,11.2567,8618.311,1
9.7645,7.7453,9.3319,0.6542,2,29.31,12256.1899,1
1.2231,7.6291,3.9897,0.9596,2,8.7374,11916.9304,0
8.8495,8.7273,3.0019,0.9093,4,11.1401,12397.7775,1
3.0063,6.9403,4.5862,0.6726,1,29.0398,4547.3124,0
4.5971,9.8303,5.8259,0.9633,1,26.4341,4287.6203,1
9.852,1.3443,6.3691,0.7021,3,13.6554,14771.4198,1
9.0955,2.7107,1.3995,0.7419,5,27.8417,8307.554,1
7.6776,7.0357,4.278,0.5808,3,19.0715,10119.1184,1
9.1004,5.5641,7.002,0.6935,3,17.078,3281.6813,1
4.4123,7.7332,2.5662,0.8004,4,16.8902,505.8861,0
4.869,6.2199,6.8924,0.7546,4,20.5932,7912.023,0
9.6385,7.6237,6.9297,0.6749,5,10.7205,12367.1402,1
7.0552,3.0218,2.7922,0.5607,2,29.5341,9363.4726,1
5.0987,8.9752,6.181,0.8661,4,15.3369,4037.7744,1
1.0499,7.7587,7.9304,0.5969,4,7.3464,12159.5929,1
5.1809,6.0167,9.2572,0.6034,2,24.2411,10179.8771,1
6.3591,9.5504,9.0228,0.8196,5,13.3755,13649.3936,1
2.4324,8.7535,5.0506,0.8808,3,23.2086,8058.8473,1
3.4714,1.6974,3.5716,0.6696,3,26.8978,1668.376,0
4.4473,2.3752,2.9256,0.7325,3,16.7357,6528.7264,0
4.7813,9.1435,6.2567,0.856,5,12.031,585.4932,1
7.7813,8.681,9.5809,0.7344,5,24.1962,13518.2645,1
3.4564,5.3708,4.4997,0.8443,4,22.0013,12687.3321,0
9.8265,5.8071,9.1624,0.8104,1,3.4345,6714.8852,1
2.6356,3.3414,3.9462,0.7501,3,23.0757,5997.3301,0
8.4873,3.2704,1.7372,0.5585,5,2.5105,14302.8355,1
1.6176,9.6156,1.3623,0.5637,2,6.7815,795.5103,1
